№ УИК,Адрес голосования,Column,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
129.0,"199178, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Васильевский, Малый проспект В.О., дом 34, ",,,,,,,,,,,
130.0,"199178, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Васильевский, Малый проспект В.О., дом 34, ",,,,,,,,,,,
131.0,"199406, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Гавань, улица Нахимова, дом 8, корпус 3, ",,,,,,,,,,,
132.0,"199106, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Гавань, улица Канареечная, дом 11, ",,,,,,,,,,,
133.0,"199106, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Гавань, улица Гаванская, дом 3, ",,,,,,,,,,,
134.0,"199106, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Гавань, улица Шевченко, дом 3, литера А, ",,,,,,,,,,,
135.0,"199106, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Гавань, улица Опочинина, дом 10, ",,,,,,,,,,,
136.0,"199106, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Гавань, улица Опочинина, дом 10, ",,,,,,,,,,,
137.0,"199406, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Гавань, улица Опочинина, дом 35, ",,,,,,,,,,,
138.0,"199406, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Гавань, Шкиперский проток, дом 5, ",,,,,,,,,,,
139.0,"199406, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Гавань, улица Остоумова, дом 19 В, ",,,,,,,,,,,
140.0,"199406, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Гавань, улица Остоумова, дом 19 В, ",,,,,,,,,,,
141.0,"199406, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Гавань, улица Шевченко, дом 36, литера А, ",,,,,,,,,,,
142.0,"199406, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Гавань, улица Шевченко, дом 36, литера А, ",,,,,,,,,,,
143.0,"199406, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Гавань, улица Гаванская, дом 54, ",,,,,,,,,,,
144.0,"199406, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Гавань, улица Гаванская, дом 54, ",,,,,,,,,,,
145.0,"199226, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Морской, Морская набережная, дом 15, корпус 2, ",,,,,,,,,,,
146.0,"199406, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Гавань, улица Нахимова, дом 8, корпус 2, ",,,,,,,,,,,
147.0,"199226, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Морской, улица Нахимова, дом 3, корпус 2, ",,,,,,,,,,,
148.0,"199226, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Морской, улица Кораблестроителей, дом 21, корпус 3, ",,,,,,,,,,,
149.0,"199226, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Морской, улица Наличная, дом 32, корпус 2, ",,,,,,,,,,,
150.0,"199226, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Морской, улица Кораблестроителей, дом 21, корпус 3, ",,,,,,,,,,,
151.0,"199226, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Морской, улица Наличная, дом 32, корпус 2, ",,,,,,,,,,,
152.0,"199226, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Морской, улица Наличная, дом 32, корпус 2, ",,,,,,,,,,,
153.0,"199226, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Морской, улица Кораблестроителей, дом 21, корпус 3, ",,,,,,,,,,,
154.0,"199226, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Морской, Морская набережная, дом 15, корпус 2, ",,,,,,,,,,,
155.0,"199226, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Морской, улица Кораблестроителей, дом 20, корпус 3, ",,,,,,,,,,,
156.0,"199226, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Морской, улица Кораблестроителей, дом 18, ",,,,,,,,,,,
157.0,"199226, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Морской, Морская набережная, дом 15, корпус 3, ",,,,,,,,,,,
