№ УИК,Адрес голосования,Координаты
44.0,"190005, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Измайловское, набережная реки Фонтанки, дом 134 а, ",59.916764 30.298799
45.0,"190103, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Измайловское, улица 8-я Красноармейская, дом 3, ",59.914644 30.3049931
46.0,"190103, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Измайловское, улица 10-я Красноармейская, дом 5 а, ",59.91302609999999 30.2983043
47.0,"190005, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Измайловское, улица 2-я Красноармейская, дом 4, ",59.9151681 30.3152291
48.0,"190005, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Измайловское, улица 7-я Красноармейская, дом 12-14, ",59.91108509999999 30.313207
49.0,"190005, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Измайловское, улица Егорова, дом 24, ",59.910932 30.314735
50.0,"190005, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Измайловское, набережная Обводного канала, дом 143, ",59.909246 30.313631
51.0,"190103, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Измайловское, Лермонтовский проспект, дом 52, ",59.91181959999999 30.2979019
52.0,"190005, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Измайловское, Московский проспект, дом 79, ",59.90189369999999 30.3177402
53.0,"190103, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Екатерингофский, улица Дровяная, дом 7 а, ",59.91084799999999 30.29197
54.0,"190103, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Екатерингофский, улица Циолковского, дом 8, ",59.91244940000001 30.286276
55.0,"190103, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Екатерингофский, улица Циолковского, дом 8, ",59.91244940000001 30.286276
56.0,"190020, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Екатерингофский, улица Курляндская, дом 43, ",59.911966 30.270179
57.0,"198095, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Екатерингофский, улица Шкапина, дом 6, ",59.9077352 30.2953553
58.0,"190020, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Екатерингофский, Старо-Петергофский проспект, дом 33, ",59.90451799999999 30.2760969
